,Energy [kWh/m²]
2019-04-07 00:00:00,0.0
2019-04-07 00:15:00,0.0
2019-04-07 00:30:00,0.0
2019-04-07 00:45:00,0.0
2019-04-07 01:00:00,0.0
2019-04-07 01:15:00,0.0
2019-04-07 01:30:00,0.0
2019-04-07 01:45:00,0.0
2019-04-07 02:00:00,0.0
2019-04-07 02:15:00,0.0
2019-04-07 02:30:00,0.0
2019-04-07 02:45:00,0.0
2019-04-07 03:00:00,0.0
2019-04-07 03:15:00,3.7499999999999997e-06
2019-04-07 03:30:00,7.499999999999999e-06
2019-04-07 03:45:00,1.1249999999999999e-05
2019-04-07 04:00:00,1.4999999999999999e-05
2019-04-07 04:15:00,0.001738
2019-04-07 04:30:00,0.003461
2019-04-07 04:45:00,0.005184
2019-04-07 05:00:00,0.006907
2019-04-07 05:15:00,0.009159875
2019-04-07 05:30:00,0.01141275
2019-04-07 05:45:00,0.013665625
2019-04-07 06:00:00,0.0159185
2019-04-07 06:15:00,0.018332499999999998
2019-04-07 06:30:00,0.0207465
2019-04-07 06:45:00,0.0231605
2019-04-07 07:00:00,0.0255745
2019-04-07 07:15:00,0.027850562500000002
2019-04-07 07:30:00,0.030126625
2019-04-07 07:45:00,0.0324026875
2019-04-07 08:00:00,0.03467875
2019-04-07 08:15:00,0.035628375
2019-04-07 08:30:00,0.036578000000000006
2019-04-07 08:45:00,0.037527625
2019-04-07 09:00:00,0.03847725
2019-04-07 09:15:00,0.040215875
2019-04-07 09:30:00,0.0419545
2019-04-07 09:45:00,0.043693125
2019-04-07 10:00:00,0.04543175
2019-04-07 10:15:00,0.0475934375
2019-04-07 10:30:00,0.049755125
2019-04-07 10:45:00,0.0519168125
2019-04-07 11:00:00,0.0540785
2019-04-07 11:15:00,0.0570444375
2019-04-07 11:30:00,0.060010375
2019-04-07 11:45:00,0.06297631249999999
2019-04-07 12:00:00,0.06594225000000001
2019-04-07 12:15:00,0.071507125
2019-04-07 12:30:00,0.077072
2019-04-07 12:45:00,0.082636875
2019-04-07 13:00:00,0.08820175000000001
2019-04-07 13:15:00,0.08577175
2019-04-07 13:30:00,0.08334175
2019-04-07 13:45:00,0.08091175000000002
2019-04-07 14:00:00,0.07848175
2019-04-07 14:15:00,0.0730823125
2019-04-07 14:30:00,0.06768287499999999
2019-04-07 14:45:00,0.062283437500000004
2019-04-07 15:00:00,0.056884
2019-04-07 15:15:00,0.0472920625
2019-04-07 15:30:00,0.037700125
2019-04-07 15:45:00,0.0281081875
2019-04-07 16:00:00,0.018516249999999998
2019-04-07 16:15:00,0.0148161875
2019-04-07 16:30:00,0.011116125000000001
2019-04-07 16:45:00,0.007416062500000001
2019-04-07 17:00:00,0.003716
2019-04-07 17:15:00,0.002787
2019-04-07 17:30:00,0.001858
2019-04-07 17:45:00,0.000929
2019-04-07 18:00:00,0.0
2019-04-07 18:15:00,0.0
2019-04-07 18:30:00,0.0
2019-04-07 18:45:00,0.0
2019-04-07 19:00:00,0.0
2019-04-07 19:15:00,0.0
2019-04-07 19:30:00,0.0
2019-04-07 19:45:00,0.0
2019-04-07 20:00:00,0.0
2019-04-07 20:15:00,0.0
2019-04-07 20:30:00,0.0
2019-04-07 20:45:00,0.0
2019-04-07 21:00:00,0.0
2019-04-07 21:15:00,0.0
2019-04-07 21:30:00,0.0
2019-04-07 21:45:00,0.0
2019-04-07 22:00:00,0.0
2019-04-07 22:15:00,0.0
2019-04-07 22:30:00,0.0
2019-04-07 22:45:00,0.0
2019-04-07 23:00:00,0.0
2019-04-07 23:15:00,0.0
2019-04-07 23:30:00,0.0
2019-04-07 23:45:00,0.0
2019-04-08 00:00:00,0.0
2019-04-08 00:15:00,0.0
2019-04-08 00:30:00,0.0
2019-04-08 00:45:00,0.0
2019-04-08 01:00:00,0.0
2019-04-08 01:15:00,0.0
2019-04-08 01:30:00,0.0
2019-04-08 01:45:00,0.0
2019-04-08 02:00:00,0.0
2019-04-08 02:15:00,0.0
2019-04-08 02:30:00,0.0
2019-04-08 02:45:00,0.0
2019-04-08 03:00:00,0.0
2019-04-08 03:15:00,8.75e-07
2019-04-08 03:30:00,1.75e-06
2019-04-08 03:45:00,2.6250000000000003e-06
2019-04-08 04:00:00,3.5e-06
2019-04-08 04:15:00,0.000763625
2019-04-08 04:30:00,0.0015237500000000001
2019-04-08 04:45:00,0.0022838750000000003
2019-04-08 05:00:00,0.003044
2019-04-08 05:15:00,0.005849999999999999
2019-04-08 05:30:00,0.008656
2019-04-08 05:45:00,0.011462
2019-04-08 06:00:00,0.014268000000000001
2019-04-08 06:15:00,0.018852499999999998
2019-04-08 06:30:00,0.023437
2019-04-08 06:45:00,0.028021500000000005
2019-04-08 07:00:00,0.032606
2019-04-08 07:15:00,0.037770937500000004
2019-04-08 07:30:00,0.042935875
2019-04-08 07:45:00,0.0481008125
2019-04-08 08:00:00,0.053265749999999994
2019-04-08 08:15:00,0.058720375
2019-04-08 08:30:00,0.064175
2019-04-08 08:45:00,0.069629625
2019-04-08 09:00:00,0.07508424999999999
2019-04-08 09:15:00,0.08259649999999999
2019-04-08 09:30:00,0.09010875
2019-04-08 09:45:00,0.09762100000000001
2019-04-08 10:00:00,0.10513325
2019-04-08 10:15:00,0.11058306250000001
2019-04-08 10:30:00,0.11603287500000001
2019-04-08 10:45:00,0.12148268749999999
2019-04-08 11:00:00,0.1269325
2019-04-08 11:15:00,0.127349625
2019-04-08 11:30:00,0.12776675
2019-04-08 11:45:00,0.128183875
2019-04-08 12:00:00,0.128601
2019-04-08 12:15:00,0.12316237499999999
2019-04-08 12:30:00,0.11772375
2019-04-08 12:45:00,0.11228512500000001
2019-04-08 13:00:00,0.10684650000000001
2019-04-08 13:15:00,0.096797375
2019-04-08 13:30:00,0.08674825000000001
2019-04-08 13:45:00,0.076699125
2019-04-08 14:00:00,0.06665
2019-04-08 14:15:00,0.0584288125
2019-04-08 14:30:00,0.050207625000000006
2019-04-08 14:45:00,0.0419864375
2019-04-08 15:00:00,0.033765250000000004
