# Renewables.ninja Weather (Point API) - 47.374, 8.541 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Zurich, t2m in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Zurich", "t2m": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "47.3744489", "lon": "8.5410422", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "false", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,t2m
2019-01-01 00:00,2019-01-01 01:00,0.570
2019-01-01 01:00,2019-01-01 02:00,0.234
2019-01-01 02:00,2019-01-01 03:00,0.070
2019-01-01 03:00,2019-01-01 04:00,-0.001
2019-01-01 04:00,2019-01-01 05:00,0.047
2019-01-01 05:00,2019-01-01 06:00,-0.122
2019-01-01 06:00,2019-01-01 07:00,-0.083
2019-01-01 07:00,2019-01-01 08:00,-0.063
2019-01-01 08:00,2019-01-01 09:00,0.681
2019-01-01 09:00,2019-01-01 10:00,1.359
2019-01-01 10:00,2019-01-01 11:00,1.962
2019-01-01 11:00,2019-01-01 12:00,2.311
2019-01-01 12:00,2019-01-01 13:00,2.342
2019-01-01 13:00,2019-01-01 14:00,2.072
2019-01-01 14:00,2019-01-01 15:00,1.267
2019-01-01 15:00,2019-01-01 16:00,0.252
2019-01-01 16:00,2019-01-01 17:00,-0.048
2019-01-01 17:00,2019-01-01 18:00,-0.090
2019-01-01 18:00,2019-01-01 19:00,-0.025
2019-01-01 19:00,2019-01-01 20:00,0.046
2019-01-01 20:00,2019-01-01 21:00,-0.027
2019-01-01 21:00,2019-01-01 22:00,-0.090
2019-01-01 22:00,2019-01-01 23:00,-0.116
2019-01-01 23:00,2019-01-02 00:00,-0.178
2019-01-02 00:00,2019-01-02 01:00,-0.217
2019-01-02 01:00,2019-01-02 02:00,-0.282
2019-01-02 02:00,2019-01-02 03:00,-0.803
2019-01-02 03:00,2019-01-02 04:00,-1.381
2019-01-02 04:00,2019-01-02 05:00,-1.923
2019-01-02 05:00,2019-01-02 06:00,-2.563
2019-01-02 06:00,2019-01-02 07:00,-2.566
2019-01-02 07:00,2019-01-02 08:00,-2.121
